Spalte2	Spalte1
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Mathematics, Natural Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester, Summer semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • International Master's in Farm Management (MFM) • Weihenstephan-Triesdorf University of Applied Sciences • Weidenbach
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Integrated Urban Development and Design • Bauhaus-Universität Weimar • Weimar
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Town and Country Planning
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • MSc International Food Business and Consumer Studies (IFBC) • University of Kassel • Witzenhausen
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Sustainable International Agriculture (SIA), MSc • University of Kassel • Witzenhausen
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Agriculture, Ecology & Societies (AGES) • University of Kassel • Witzenhausen
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Agriculture, Forestry and Nutritional Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Agriculture, Forestry and Nutritional Sciences	Master's degree • Ecosystem Services • Technische Universität Dresden • Zittau
filler	University
Agriculture, Forestry and Nutritional Sciences	Subject
Agriculture, Forestry and Nutritional Sciences	Law, Economics and Social Sciences in general
Agriculture, Forestry and Nutritional Sciences	Beginning
Agriculture, Forestry and Nutritional Sciences	Winter semester
Agriculture, Forestry and Nutritional Sciences	Tuition fees per semester
Agriculture, Forestry and Nutritional Sciences	none
Agriculture, Forestry and Nutritional Sciences	Language
Agriculture, Forestry and Nutritional Sciences	English
Agriculture, Forestry and Nutritional Sciences	Duration
Agriculture, Forestry and Nutritional Sciences	4 semesters
Art, Art Theory	Master's degree • Interactive Media Systems • Augsburg Technical University of Applied Sciences • Augsburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Master's degree • Cultural Studies of the Middle East • University of Bamberg • Bamberg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Other / Non-European Languages and Cultural Studies
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • African Verbal and Visual Arts: Languages, Literatures, Media and Art • University of Bayreuth • Bayreuth
filler	University
Art, Art Theory	Subject
Art, Art Theory	Other / Non-European Languages and Cultural Studies
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Bachelor's degree • African Verbal and Visual Arts: Languages, Literatures, Media and Art (BA) • University of Bayreuth • Bayreuth
filler	University
Art, Art Theory	Subject
Art, Art Theory	Languages and Cultural Studies in general
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	6 semesters
Art, Art Theory	Master's degree • Urban Design Master's Programme • Technische Universität Berlin • Berlin
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • Digital Media • University of Bremen • Bremen
filler	University
Art, Art Theory	Subject
Art, Art Theory	Computer Science
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • Master in Integrated Design (MID) • OWL University of Applied Sciences and Arts • Detmold
filler	University
Art, Art Theory	Subject
Art, Art Theory	Architecture
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • Expanded Media • Darmstadt University of Applied Sciences • Dieburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Performing Arts, Film and Television, Drama
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters, 4 semesters
Art, Art Theory	Master's degree • Master's in International Media Cultural Work (IMC) • Darmstadt University of Applied Sciences • Dieburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Art, Art Theory in general
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters, 4 semesters
Art, Art Theory	Bachelor's degree • Bachelor of Arts in Animation and Game • Darmstadt University of Applied Sciences • Dieburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	7 semesters
Art, Art Theory	Bachelor's degree • Expanded Realities (BA) • Darmstadt University of Applied Sciences • Dieburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	7 semesters
Art, Art Theory	Master's degree • MA Animation and Game Direction • Darmstadt University of Applied Sciences • Dieburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters, 4 semesters
Art, Art Theory	Bachelor's degree • BA European Cultures and Society (EUCS) • Europa-Universität Flensburg • Flensburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Law, Economics and Social Sciences in general
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	6 semesters
Art, Art Theory	Master's degree • Sustainable Landscape Design and Development • OWL University of Applied Sciences and Arts • Höxter
filler	University
Art, Art Theory	Subject
Art, Art Theory	Land Management, Environmental Architecture
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • User Experience Design • Technische Hochschule Ingolstadt • Ingolstadt
filler	University
Art, Art Theory	Subject
Art, Art Theory	Computer Science
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Master's degree • Design Leadership (MSc) • Technische Hochschule Ingolstadt • Ingolstadt
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Bachelor's degree • Information and Communication Design, BA • Rhine-Waal University of Applied Sciences • Kamp-Lintfort
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	7 semesters
Art, Art Theory	Master's degree • Usability Engineering, MSc • Rhine-Waal University of Applied Sciences • Kamp-Lintfort
filler	University
Art, Art Theory	Subject
Art, Art Theory	Computer Science
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Master's degree • Design and Interaction, MA • Rhine-Waal University of Applied Sciences • Kamp-Lintfort
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Master's degree • Integrated Design Research (Master of Arts) • TH Köln (University of Applied Sciences) • Köln
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Bachelor's degree • Digital Games (Bachelor of Arts) • TH Köln (University of Applied Sciences) • Köln
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	7 semesters
Art, Art Theory	Master's degree • Digital Games (Master of Arts) • TH Köln (University of Applied Sciences) • Köln
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	3 semesters
Art, Art Theory	Bachelor's degree • Digital Media (BA) • Leuphana University Lüneburg • Lüneburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Design
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	6 semesters
Art, Art Theory	Master's degree • Cultural Studies: Culture and Organisation (MA) • Leuphana University Lüneburg • Lüneburg
filler	University
Art, Art Theory	Subject
Art, Art Theory	Languages and Cultural Studies in general
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • Human Computer Interaction (HCI) • University of Siegen • Siegen
filler	University
Art, Art Theory	Subject
Art, Art Theory	Computer Science
Art, Art Theory	Beginning
Art, Art Theory	Winter semester, Summer semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Art, Art Theory	Master's degree • Public Art and New Artistic Strategies (MFA) • Bauhaus-Universität Weimar • Weimar
filler	University
Art, Art Theory	Subject
Art, Art Theory	Fine Arts
Art, Art Theory	Beginning
Art, Art Theory	Winter semester
Art, Art Theory	Tuition fees per semester
Art, Art Theory	none
Art, Art Theory	Language
Art, Art Theory	English
Art, Art Theory	Duration
Art, Art Theory	4 semesters
Engineering	Master's degree • Master of Science in Mechatronics • FH Aachen University of Applied Sciences • Aachen
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Communications Engineering – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Electrical Power Engineering – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Master of Science in International Automotive Engineering • FH Aachen University of Applied Sciences • Aachen
filler	University
Engineering	Subject
Engineering	Transport Engineering, Nautical Science
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Master of Science in Aerospace Engineering (MSc) • FH Aachen University of Applied Sciences • Aachen
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • MSc Applied Geosciences – Energy & Mineral Resources (EMR) • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Earth Sciences (excluding Geography)
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Master of Science in Automotive Engineering • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Micro- and Nanoelectronics – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Railway Systems Engineering • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Transport Engineering, Nautical Science
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Computer Engineering – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Systems and Automation – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Biomedical Systems Engineering – Master's Study Programme • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Sustainable Management – Water and Energy • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Civil Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Advanced Computational Methods in Civil Engineering • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Civil Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Applied Geosciences – Applied Mineralogy and Crystallography (AMC) • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Earth Sciences (excluding Geography)
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Engineering Geohazards (MSc) • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Earth Sciences (excluding Geography)
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Materials Engineering (International Profile) • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • MSc Mineral Resources Engineering – Specialisation: Repository Safety • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • European Mining Course (EMC) • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Mining, Metallurgy
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Biomedical Engineering • RWTH Aachen University • Aachen
filler	University
Engineering	Subject
Engineering	Mathematics, Natural Sciences in general
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • International Energy Engineering (MEng), full-time • Ostbayerische Technische Hochschule Amberg-Weiden (OTH) • Amberg
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • International Product and Service Management (IPM) • Ansbach University of Applied Sciences • Ansbach
filler	University
Engineering	Subject
Engineering	Business and Economics
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Applied Biotechnology • Ansbach University of Applied Sciences • Ansbach
filler	University
Engineering	Subject
Engineering	Mathematics, Natural Sciences in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Biofabrication • University of Bayreuth • Bayreuth
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Scientific Computing (Elite Network of Bavaria) • University of Bayreuth • Bayreuth
filler	University
Engineering	Subject
Engineering	Mathematics
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Battery Materials and Technology (Master of Science) • University of Bayreuth • Bayreuth
filler	University
Engineering	Subject
Engineering	Mathematics, Natural Sciences in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Master's in Construction and Real Estate Management (ConREM) • HTW Berlin University of Applied Sciences • Berlin
filler	University
Engineering	Subject
Engineering	Civil Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Urban Design Master's Programme • Technische Universität Berlin • Berlin
filler	University
Engineering	Subject
Engineering	Design
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Master's in Architecture Typology • Technische Universität Berlin • Berlin
filler	University
Engineering	Subject
Engineering	Architecture
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Computational Engineering (CompEng) • Ruhr-Universität Bochum • Bochum
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Materials Science and Simulation • Ruhr-Universität Bochum • Bochum
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Lasers and Photonics (Master of Science) • Ruhr-Universität Bochum • Bochum
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Subsurface Engineering (SubSurf) • Ruhr-Universität Bochum • Bochum
filler	University
Engineering	Subject
Engineering	Civil Engineering
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Mechanical Engineering: Sustainable Energy Systems und Circular Process Engineering (MSc) • Ruhr-Universität Bochum • Bochum
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Geodetic Engineering • University of Bonn • Bonn
filler	University
Engineering	Subject
Engineering	Surveying
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Quantum Technologies in Electrical and Computer Engineering (QTEC) • Technische Universität Braunschweig • Braunschweig
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Communication & Information Technology, MSc (CIT) • University of Bremen • Bremen
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Control, Microsystems, Microelectronics (CMM) • University of Bremen • Bremen
filler	University
Engineering	Subject
Engineering	Electrical Engineering
Engineering	Beginning
Engineering	Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Space Sciences and Technologies – Sensing, Processing, Communication (Space-ST) • University of Bremen • Bremen
filler	University
Engineering	Subject
Engineering	Physics, Astronomy
Engineering	Beginning
Engineering	Winter semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Space Engineering I (SpE-I) • University of Bremen • Bremen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	3 semesters
Engineering	Master's degree • Space Engineering II (SpE-II) • University of Bremen • Bremen
filler	University
Engineering	Subject
Engineering	Engineering in general
Engineering	Beginning
Engineering	Winter semester, Summer semester
Engineering	Tuition fees per semester
Engineering	none
Engineering	Language
Engineering	English
Engineering	Duration
Engineering	4 semesters
Engineering	Master's degree • Process Engineering and Energy Technology • Bremerhaven University of Applied Sciences • Bremerhaven
filler	University
Engineering	Subject
Engineering	Mechanical Engineering / Process Engineering
Engineering	Beginning
