university;study_programme
School of Oriental and African Studies;Law
Kingston University;Music
Napier University;Information Systems Development
University of Leicester;Archaeology
Metropolitan University;Law
Liverpool John Moores University;Analytical Forensic Science
University of Southampton;Languages and Contemporary European Studies
Bournemouth University;Computer Networks
Kingston University;Architecture
University of Edinburgh;Geographical Information Science (GIS)
University of Surrey;Physics
University of Reading;Education (English Language Teaching)
University of Essex;Cognitive Neuroscience
University of London;Advanced Legislative Studies
The University of Buckingham;English Literature with Psychology
University of Dundee;Pharmacology
University of Surrey;Business Interpreting in Chinese and English
University of Bristol;Systems Engineering
Brunel University Uxbridge;Computer Systems Engineering
Liverpool John Moores University;Animal Behaviour
University of Law Business School;Law
Brunel University Uxbridge;Business Finance
University of Leeds;Characterisation of Flocculated Waste Suspensions with Acoustic Backscatter
University Campus Suffolk;Leadership and Service Innovation
Kingston University;Pharmaceutical Analysis with Management Studies
University of Southampton;Fine Art
University of York;Linguistics
University of East Anglia;Actuarial Sciences (with a Year in Industry)
University of Southampton;Global Politics (Research)
Brunel University Uxbridge;Environmental Science — Pollution and Monitoring
University of Manchester;Advanced Computer Science
Kingston University;Art and Space
Sheffield Hallam University;Business Administration
Oxford Brookes University;Computing
University of Leeds;International Health
University of Nottingham;China Scholarship Council Scholarship for Research
University of Leeds;TESOL Teacher Education
Coventry University;English and Journalism
University of Oxford;Oriental Studies
University of Leeds;Science Education
University of Essex;Linguistics (including Year Abroad)
University of Leicester;Media and Communication
University of York;Zooarchaeology
Bangor University;Computer Science with Visualisation
University of Newcastle-upon-Tyne;Psychology (Foundations in Clinical and Health Psychology)
Loughborough University;Business and Management
University of Glasgow;Human Nutrition
University of Hertfordshire;Aerospace Engineering
King's College London;Pharmaceutical Science
University College London;Art and Design in Education
University of Dundee;Energy, Petroleum and Mineral Law and Policy
University of Manchester;Personal Professional Development
University of Glasgow;International Trade and Finance
Metropolitan University;Architectural History, Theory and Interpretation
School of Oriental and African Studies;Islamic Societies and Cultures
University of Oxford;Anthropology
University of York;Cognitive Neuroscience
Brunel University Uxbridge;Social Anthropology
Loughborough University;Advanced Manufacturing Engineering and Management
University of London;Finance and Econometrics
Kingston University;Landscape and Urbanism
University of Manchester;Biochemistry
University of Stirling;International Business
University of York;Nineteenth Century Literature and Culture
University of Sunderland;Exercise, Health and Fitness
Imperial College London;Soil Mechanics and Sustainable Development
University of Warwick;Innovation and Entrepreneurship (IAE)
Heriot-Watt University;Construction Project Management
Brunel University Uxbridge;Electronic and Electrical Engineering
University of Teesside;Project Management
University of Birmingham;Atmospheric Sciences and Air Pollution with Integrated Study
Middlesex University;Product Design
University of Glasgow;International Corporate Finance and Banking
Kingston University;Analytical Chemistry with Management Studies
Kingston University;Clinical Practice
Coventry University;Law, Humanities and Social Sciences
Middlesex University;Strength and Conditioning
University of Edinburgh;Sport and Recreation Business Management
University of Kent at Canterbury;Digital Arts
University of St. Andrews;Artificial Intelligence
University of Surrey;Health and Social Care
University of Southampton;Applied Digital Signal Processing
University of Southampton;International Political Economy
Sheffield Hallam University;Pharmacology and Biotechnology
University of Liverpool;International Relations and Security
University of Oxford;Law
University of Essex;Economics
Aston University;Strategy and International Business
University of Liverpool;Digital Business Enterprise Management
The Robert Gordon University;Computing: Information Engineering with Network Management
University of East Anglia;Economics
University of East Anglia;Pharmacy, Biomedicine and Health
University of Newcastle-upon-Tyne;Materials Design and Engineering
The University of Buckingham;History with Economics
Oxford Brookes University;Computer Science
The Queen's University Belfast;Gender and Society
University of London;Environmental Management
Coventry University;Life Sciences
University of Glasgow;Learning and Teaching of Modern Languages in the Primary School
Cardiff University;Clinical Dentistry
Sheffield Hallam University;Banking and Finance
University of London;Oral Surgery
Imperial College London;Mathematics and Computer Science
The Queen's University Belfast;Conflict Transformation and Social Justice
University of Sheffield;Health Informatics
University of Nottingham;American Studies (History)
University of Exeter;Accounting and Finance
School of Oriental and African Studies;Pacific Asian Studies
Southampton Solent University;Writing Fashion and Culture
University of Bedfordshire;Business and Management
University of Glasgow;Human Rights and International Politics
Brunel University Uxbridge;Advanced Multimedia Design and 3D Technologies
The Robert Gordon University;Business Administration
University of Glasgow;International Accounting and Financial Management
Cardiff University;Management and Business Studies, or Economics
University of Dundee;Geography and Politics
University of Southampton;Gerontology
Kingston University;Production Design for Film and Television
Birkbeck College;International Childhood Studies
University of Nottingham;Diplomacy
University of Southampton;Foundations of Clinical Psychology
Imperial College London;Economics and Strategy for Business
University of Leeds;Public Health (International)
University of Abertay Dundee;Research (School of Contemporary Sciences)
University of Essex;Global Project Management
University of East Anglia;Environmental Geophysics
University of Reading;Accounting and Financial Management
Coventry University;Advertising and Business
University of Liverpool;Computer Science
University of East Anglia;Marketing and Management
Imperial College London;Computing — Games, Vision and Interaction
Cardiff University;ESRC Economics
University of Sunderland;English
University of York;Ecology and Environmental Management
University of Abertay Dundee;Ethical Hacking and Computer Security
University of Leeds;Disability Studies
Goldsmiths;Comparative Literary Studies: American Literature and Culture
Imperial College London;Physics with Nanophotonics
University of Surrey;International Retail Marketing
Metropolitan University;Applied Psychology
University of Essex;Environmental Governance
University of Dundee;Town and Regional Planning
Heriot-Watt University;Real Estate and Planning
University of Leeds;Economics
Glasgow Caledonian University;Applied Psychology
University of St. Andrews;Sustainable Development
King's College London;Mathematics
University of Wales;Medical Ethics
Cardiff University;Human Resource Management
University of Kent at Canterbury;English and Spanish Law
University College London;Infancy and Early Childhood Development
University of Glasgow;Finance and Economic Development
Sheffield Hallam University;Biomedical Basis of Disease
Middlesex University;Music
University of Manchester;Management of Projects: Engineering Project Management
The University of Buckingham;Economics with Journalism
Sheffield Hallam University;Software Engineering
Imperial College London;Computing (Visual Information Processing)
Coventry University;Engineering Project Management
University of Dundee;Microbiology
University of Sunderland;Electronic and Electrical Engineering
Imperial College London;Computing — Software Engineering
University of Sussex;Film Studies
University of Essex;Computer Science (including Year Abroad)
University of Newcastle-upon-Tyne;Earth Science
University of Manchester;Aerospace Engineering
University of York;Comparative and International Social Policy
University of Essex;Experimental Linguistisc (Research)
Kingston University;International Business Management
Metropolitan University;Forensic Science
University of Leicester;Psychology of Work
University of York;Social Policy
University of Manchester;Advanced Audiology
University of Teesside;Criminal Investigation
University of London;International Human Resource Management
University of Sunderland;Business and Management
University of Leicester;Managing Voluntary and Community Organisations
Glasgow Caledonian University;Computer Games (Art and Animation)
University of Dundee;Anatomical Sciences
Royal Holloway and Bedford New College;Computer Science
University of East Anglia;Environmental Earth Sciences with a Year in North America
University of Northampton;IT Service Management
University of Essex;Statistics and Computer Science
Imperial College London;Aerospace Materials
Metropolitan University;Conference Interpreting
University of Oxford;Gas Turbine Aerodynamics
University of Leeds;Electronic systems for imaging and therapy of cancer
Brunel University Uxbridge;Sport, Health and Exercise Sciences with Business Studies
University of Greenwich;Landscape Architecture
Napier University;Digital Systems
University of Lancaster;E-Business and Innovation
The Queen's University Belfast;Environmental and Civil Engineering (Sandwich)
University of Leeds;Finance and Investment
University of York;Conflict, Governance and Development
University of Manchester;Cancer Research and Molecular Biomedicine
University Campus Suffolk;Business Management with Law
Bournemouth University;Marketing Communications
Imperial College London;Advanced Chemical Engineering with Process Systems Engineering
University of Leeds;Mathematics and Computer Science
University of Reading;Marketing and International Management
Imperial College London;Surgical Science
Bangor University;International Banking and Development Finance — London Centre
University of East Anglia;Politics and Economics
University of Edinburgh;Social Anthropology
University of Greenwich;Business with Law
Middlesex University;Inclusive Education
London School of Economics and Political Science;Econometrics and Mathematical Economics
Bournemouth University;Sports Management
University of Lincoln;Business Management (Honours)
University of Liverpool;Industrial Design
University of Birmingham;Heritage Management
University of Manchester;International Financial Law
University of Strathclyde;Finance
Brunel University Uxbridge;Social and Cultural Research
St Patrick's College;Network Engineering and Telecommunication Systems (NETS)
University of York;Computational Biology
University of Oxford;Major Programme Management
University of Manchester;Advanced Process Design for Energy and the Environment
Durham University;Geography
University of Southampton;Applied Linguistics (Research Methodology)
University of Kent at Canterbury;Digital Artist
Aston University;Business and Marketing Analytics
Kingston University;Economic Policy
University of Edinburgh;Human Geography
Napier University;Marketing with Festival and Event Management
University of East Anglia;Business Finance and Economics
University of York;Economic and Social Policy Analysis
University of Southampton;Geo-information Science and Earth Observation
University of Nottingham;Critical Theory
Kingston University;Biotechnology
Middlesex University;Sociology and Social Policy
University of Sunderland;Broadcast Journalism
London School of Economics and Political Science;Accounting with Law
Imperial College London;Grand Challenges in Ecosystems and the Environment
University of Surrey;International Financial Management
University of Cambridge;Animal Health
King's College London;Education, Policy and Society
Napier University;Advanced Security and Digital Forensics
University of Glasgow;Cardiovascular Sciences
University of Nottingham;Cognitive Neuroscience and Neuroimaging
University of Surrey;Radiation Detection and Instrumentation
Napier University;Business Information Technology
Metropolitan University;Criminal Psychology
University of Liverpool;Environmental Sciences
Metropolitan University;Health and Social Care Management and Policy
University of York;Cultures of Empire, Resistance and Postcoloniality
Heriot-Watt University;Fashion and Textiles Design
Coventry University;Ethical Hacking and Network Security
Durham University;Philosophy and Theology
University College London;Behaviour Change
University of Stirling;Autism
University of Kent at Canterbury;Economics with a Language (Spanish)
University of Hertfordshire;Computer Science
Imperial College London;Process Automation, Instrumentation and Control (PAIC)
The University of Buckingham;Accounting and Financial Management
Cardiff University;Advanced Computer Science with Placement
University of Glasgow;Real Estate
University of Nottingham;Modern English Language
University of Glasgow;Global Mental Health
Coventry University;English
University of Essex;Computer Networks
School of Oriental and African Studies;Environmental Law
Imperial College London;Paediatrics and Child Health
University of Edinburgh;Innovation, Technology and the Law
University of Gloucestershire;Computing with IT Management
Loughborough University;Analytical and Pharmaceutical Science
University of Greenwich;Electrical and Electronic Engineering Technology
University of Birmingham;History
Imperial College London;Medical Device Design and Entrepreneurship
Imperial College London;Soil Mechanics
Napier University;Conservation and Management of Protected Areas
University of Southampton;Web Science (Social Science)
University of Cambridge;Graphene Technology
University of Manchester;Corporate Communications and Reputation Management
University of Bradford;International Business and Management
Sheffield Hallam University;Audit Management and Consultancy
University College London;Social Sciences with Quantitative Methods
London School of Economics and Political Science;International and World History (Double Degree)
University of York;Eighteenth Century Studies
Kingston University;International Business Management with Finance
Bangor University;Applied Sport and Exercise Psychology
Cardiff University;Mediatized Conflict Group studies
University of Glasgow;International Law and Security
Sheffield Hallam University;Physical Activity for Health
Cardiff University;Neuroimaging Methods and Applications
University of Essex;Health and Organisational Research
Kingston University;Design: Product+Space
University of Essex;Management
University of Exeter;Mindfulness-Based Cognitive Therapies and Approaches
The Robert Gordon University;Computing: Software Technology with Network Management
Sheffield Hallam University;International Marketing
Coventry University;Computing
King's College London;UK, EU and US Copyright Law
University of York;Public Administration
University of Leeds;Application of a computer vision techniques to national infrastructure
London School of Economics and Political Science;Diplomacy and International Strategy
Kingston University;Professional Education and Training in Human Services with Management
Kingston University;Human Resource Management
University of Sunderland;Business Administration
Loughborough University;International Relations
Imperial College London;Tribology
University of Northumbria at Newcastle;Biotechnology
University of Aberdeen;Human Rights
University of Manchester;Human Rights — Political Science (Standard Route)
University of London;Medieval Studies
The Queen's University Belfast;Biochemistry
Durham University;Philosophy and Politics
University of Southampton;European Embedded Computing Systems (EMECS)
University of Greenwich;Business with Human Resource Management
University of East Anglia;Translation and Interpreting
University of Southampton;Global Ageing and Policy
University of Nottingham;Economics and Social Research
University of Stirling;Housing Studies
University of Edinburgh;Ecosystem Services
University of Essex;Economics (including foundation year)
Liverpool John Moores University;Civil Engineering
University of Central Lancashire;International Business Law
School of Oriental and African Studies;International Law
University of Leeds;Leeds Business Administration (Full-time and Executive)
King's College London;Digital Culture and Society
University of Southampton;Oceanography
University of Edinburgh;Full-time MBA
University of Greenwich;3D Digital Design and Animation
University of Birmingham;Philosophy of Health and Happiness
Durham University;Greece, Rome and the Near East
University of East Anglia;Actuarial Sciences
University of Edinburgh;Operational Research
Brunel University Uxbridge;Advanced Electronic and Electrical Engineering
The Queen's University Belfast;Management
De Montfort University Leicester;Adaptations
University Campus Suffolk;Counselling (Progression Route)
University of Lancaster;Criminology
University of Southampton;Information Technology and Telecommunications Law
University of Manchester;Mathematical Finance
University of Huddersfield;Product Design (Industrial)
King's College London;Nuclear Medicine: Science and Practice
London South Bank University;International Marketing (with Internship)
Kingston University;Creative Writing
University of Southampton;Information Technology and Commerce
University of Bath;Education
University of Dundee;Fine Art (Digital Media, Drawing and Painting, Printmaking, Sculpture)
University of Dundee;Politics (+MA)
Online Business School;Hotel and Hospitality
University of Wales;Management of Library and Information Services
University of Oxford;Higher Education
Kingston University;Informatics with Management Studies
University of Essex;Linguistics
University of Leicester;Managing Voluntary and Community Organisations
University of Nottingham;Ancient Drama and its Reception
University of Stirling;Business, International Trade and Diplomatic Studies
University of York;Applied Health Research
University of Essex;Environmental Sciences
Imperial College London;Pure Mathematics
University of Liverpool;Building Information Modelling
University of Essex;Accounting and Finance
University of Kent at Canterbury;Accounting and Management with a Year in Industry
The University of Buckingham;Economics
University of East Anglia;Climate Science
University of Southampton;Spanish
Glasgow Caledonian University;Food Bioscience
University of Liverpool;Ancient History
Bournemouth University;Events Management
Imperial College London;Analogue and Digital Integrated Circuit Design
The Queen's University Belfast;Software and Electronic Systems Engineering
The Queen's University Belfast;Archaeology
University College London;Global Governance and Ethics
School of Oriental and African Studies;Study of Contemporary Pakistan
University of Manchester;TESOL
Queen Mary University of London;Internet of Things
Southampton Solent University;International Accounting and Finance
Sheffield Hallam University;Information Systems with SAP
Imperial College London;Epidemiology
The University of Buckingham;Business and Management with Applied Computing
University of Greenwich;Extended Engineering
Bangor University;Computer Science
Coventry University;Civil Engineering
Brunel University Uxbridge;Media and Communications
University of Manchester;Health and Social Careр
University of Southampton;Corporate Risk and Security Management
University of Oxford;Psychology Philosophy and Linguistics
University College London;International Programme of Statistical Sciencei
University of Aberdeen;Advanced Educational Studies
University of Strathclyde;Counselling and Counselling Skills
University of Edinburgh;Information Technology Law
University of Essex;Financial Economics (including foundation year)
University of Manchester;Management
Imperial College London;Computing — Computational Management
University of Greenwich;Early Childhood Studies (Top Up)
University of Liverpool;Aerospace Engineering with Pilot Studies
Cardiff University;Architecture
University of Leeds;Chemical Process Research and Development
University of East Anglia;International Development with Economics with Overseas Experience
Coventry University;Oil, Gas and Energy Management
University of Nottingham;Politics and Contemporary History
University of Manchester;Bioinformatics and Systems Biology
University of Manchester;Economics and Econometrics
University of York;Music
Imperial College London;Soil Mechanics and Business Management
University of East Anglia;Media Studies
University of Dundee;Mathematical Biology
University of Birmingham;Marketing
Middlesex University;A-Z Course List Business Management (Supply Chain Management)
London School of Economics and Political Science;Social Policy and Economics
London School of Economics and Political Science;International Management
Durham University;Accounting and Management
University of York;Computer Science with Embedded Systems
Kingston University;Design for Development
University of Nottingham;International Law and Development
University of Edinburgh;Literature and Transatlanticism
University of Essex;Banking, Finance and Modern Languages
University of Greenwich;Control and Instrumentation Engineering
University Campus Suffolk;History
University of Greenwich;Accounting and Financial Information Systems
University of Cambridge;Linguistics
University of Nottingham;Environmental Engineering
Bournemouth University;Green Economy
University of Manchester;Business Analysis and Strategic Management
University of Greenwich;Wireless Mobile Communications Systems Engineering
University of Manchester;Healthcare Ethics and Law
University of Essex;Translation and Literature
Durham University;Music
University of Nottingham;Literary Linguistics
London School of Economics and Political Science;Social Policy and Planning
Bournemouth University;Business Studies
University of Kent at Canterbury;English and American Literature with an Approved Year Abroad
University of Reading;Public Policy
Southampton Solent University;Creative Advertising
University of Wales;Environmental Monitoring and Analysis
University of East Anglia;Modern History
University of Stirling;Marketing and Management for Retailing
University of Southampton;Interdisciplinary Medieval and Renaissance Culture
University of Oxford;Philosophy Politics and Economics
University of Manchester;Electrical Power Systems Engineering
Coventry University;Spanish and English
The University of Buckingham;English Literature with English Language Studies
University of Wales;Art History
University of Greenwich;Film and Television Production
University of East Anglia;American History with Modern History
University of East Anglia;Mathematics with Business
Staffordshire University;Hugh Douglas Burnham
University of Bristol;Mechanical Engineering
Durham University;Early Modern History
Sheffield Hallam University;Social Work
University of Manchester;Developmental Biology
University of Southampton;Astronomy (with a Year Abroad)
Napier University;Polymer Engineering
University of Essex;Philosophy, Politics and Economics
University of Southampton;English Literary Studies
University of Manchester;Modern European History
University of Leicester;Leicester Business Administration
University of Sunderland;Broadcast Media Production
University of Essex;History
University of Birmingham;English Literature Joint Honours
Sheffield Hallam University;Financial Management
Glasgow Caledonian University;International Business, Fashion Marketing and Risk Management
University of Manchester;BioHealth Informatics
University of Cambridge;Basic and Translational Neuroscience
University of Surrey;Translation Studies with Intercultural Communication
Cardiff University;Geodynamics
University of Greenwich;Graphic and Digital Design
Open University;Business Administration
Loughborough University;Information Technology
University of Greenwich;History and Philosophy
University of Manchester;Crime, Law and Society
University of Northumbria at Newcastle;Conservation of Fine Art
Sheffield Hallam University;Computer and Network Engineering
University of Oxford;Renewable Energy Marine Structures
University of Birmingham;Shakespeare and Theatre
University of Greenwich;Health and Social Care (Top-up)
Imperial College London;Materials Engineering
The Robert Gordon University;Oil and Gas Law
University of Manchester;Criminology and Socio-Legal Studies (Criminology pathway)
Sheffield Hallam University;Sustainable Communities and Environments
Napier University;Facilities Management
University of Nottingham;Business
University of Southampton;Education Management and Leadership
University of Essex;Accounting and Financial Economics
University of Greenwich;Business Studies
University of Greenwich;Digital Film Production
University of Southampton;Research Methodology
University of Bath;International Public Policy Analysis (MIPPA)
University of Kent at Canterbury;Electronic and Communications Engineering with a Foundation Year
Imperial College London;Plastic Electronic Materials
Bournemouth University;Finance and Law
Bournemouth University;Mental Health Nursing
University of Nottingham;Scientific Computation with Industrial Mathematics
University of Exeter;Financial Economics
Oxford Brookes University;Midwifery (Pre-registration)
Southampton Solent University;Media Writing
Anglia Ruskin University;Civil Engineering
Brunel University Uxbridge;Electronic and Microelectronic Engineering
University of Kent at Canterbury;Electronic and Communications Engineering with a Year in Industry
Oxford Brookes University;Applied Human Nutrition
University of Strathclyde;Investment and Finance
University of Cambridge;Advanced Chemical Engineering
University of Leicester;Economics
Brunel University Uxbridge;Journalism (NCTJ Accreditation)
Sheffield Hallam University;Risk Management
University of Nottingham;Economics
Bournemouth University;International Business Communication Top-up
Heriot-Watt University;Architectural Project Management
Cardiff University;Institute of Energy
Liverpool John Moores University;Computer Security with Foundation Year
Queen Mary University of London;Economics and Finance
The University of Buckingham;English Studies with Media Communications
University of Nottingham;Mental Health Studies
Imperial College London;Systems and Synthetic Biology
University of Oxford;Global Health Science
University of East Anglia;American Studies
University of Edinburgh;International Commercial Law and Practice
University of London;Social Work
University of Teesside;Engineering Management
Bangor University;Welsh (Cymraeg)
Kingston University;Professional Practice (Architecture)
Durham University;Internet Systems and E-Business
University of London;International Management (Year in Business)
University of Birmingham;Cultural Heritage of Shakespeare England
University of Southampton;International Banking and Financial Studies
University of Greenwich;Civil Engineering
Manchester Metropolitan University;Education Studies
Southampton Solent University;International Business Management
University of St. Andrews;Neuroscience
University of Nottingham;Politics (Research Track)
Bournemouth University;Producing Film and Television
University of East Anglia;Physical Education
University of Glasgow;Animal Welfare Science, Ethics and Law
Brunel University Uxbridge;International Business
Loughborough University;Environmental Monitoring for Management
Cardiff University;Social Science Research Methods
Sheffield Hallam University;International Human Resource Management
King's College London;French Literature and Culture
University of London;International Business
University of Southampton;Structural Dynamics
Coventry University;Aviation Management
Imperial College London;Mathematics
Kingston University;Computer Vision and Image Analysis
King's College London;Bioinformatics
University of Edinburgh;Financial Management
University of Oxford;History of Science Medicine and Technology
University of Manchester;Biotechnology
University College London;Development Administration and Planning
University of Essex;Playwriting
Bournemouth University;Product Design
University of Oxford;Japanese Studies
University of Oxford;Strategy and Innovation
Bournemouth University;Information Technology
University of Surrey;International Relations
University of Glasgow;Teaching Adults
Brunel University Uxbridge;Economics
University of Kent at Canterbury;Business Administration
Coventry University;Advertising and Marketing
University of Kent at Canterbury;European Economics (German)
University College London;Bioprocessing of New Medicines (Science and Engineering)
University of Northumbria at Newcastle;Digital Marketing
University of Nottingham;Medieval English
University of Essex;English Literature (including foundation year)
University of Bradford;Cyber Security
Kingston University;Software Engineering
Glasgow Caledonian University;International Retail Marketing
University of Lancaster;Conflict Resolution and Peace Studies
University of Reading;Graphic Communication
University of London;Cultural Geography (Research)
University of London;Media Law (1 Year and 2 Years Part-time)
Bournemouth University;International Risk Management and Finance
University of London;History
The University of Buckingham;Politics and Economics
Loughborough University;Automotive Systems Engineering
University of St. Andrews;Social Anthropology
Kingston University;Legal Studies
University of Dundee;Economics and Politics
Cardiff University;Public Health
University of East Anglia;Environmental Sciences with a Year in North America
University College London;Health Economics and Decision Science
Imperial College London;Water Engineering
University of East Anglia;Computing Science
Bournemouth University;Hotel and Food Services Management
The Robert Gordon University;Social Work
The Queen's University Belfast;Politics
School of Oriental and African Studies;African Studies
University of Reading;Consumer Behaviour and Marketing
University of St. Andrews;Mathematics
University of Birmingham;International Relations
Brunel University Uxbridge;Computer Science (Digital Media and Games)
University of Essex;Creative Writing
Brunel University Uxbridge;Occupational Therapy (post-registration)
Bournemouth University;Events and Leisure Marketing
University of Oxford;Nanotechnology
Bournemouth University;Sports Management (Golf)
School of Oriental and African Studies;Law and Gender
University College London;Economy State and Society — History and Society
University of Southampton;Bionanotechnology
London School of Business and Finance;Management
University of Nottingham;Economics and Econometrics
University of Kent at Canterbury;Autism Studies
The Queen's University Belfast;Medicinal Chemistry
Aston University;Organisational Psychology and Business
The Robert Gordon University;Computing: Information Engineering
University of Nottingham;Philosophical Theology
Cardiff University;Architectural Studies
University of Leicester;Diplomatic Studies
University of Central Lancashire;International Business and Management
University of Manchester;Social Anthropology
University of Kent at Canterbury;Marketing
Metropolitan University;Architecture, Energy and Sustainability
University of Birmingham;Modern Languages and European Studies
Kingston University;Accounting and Information Systems
University of Leicester;Software Engineering for Financial Services
University of Sunderland;Computing
University of Kent at Canterbury;Drama and English Language and Linguistics
Imperial College London;Physics with Extended Research
University of Sunderland;Law
Durham University;Economics
Metropolitan University;Professional Information Technology
University of Essex;Cloud Computing
University of Bath;Physics
Imperial College London;Biomaterials and Tissue Engineering
Goldsmiths;Anthropology
University of Leeds;Architectures and protocols aiming to reduce power consumption of ICT networks
University of Essex;Management and Organisational Dynamics
University of London;Theatre (Applied Drama)
University of Manchester;Medical Virology
Birkbeck College;Creative Computing
University of Oxford;Mathematics and Computer Science
Imperial College London;Computational Methods in Ecology and Evolution
University of Bradford;Finance, Accounting and Management
Imperial College London;Public Health
University of St. Andrews;Information Technology
London South Bank University;Quantity Surveying
University of Nottingham;Management Psychology
University of Central Lancashire;Fire Scene Investigation
University of Leeds;Criminal Justice and Criminal Law
Imperial College London;Advanced Mechanical Engineering
Bournemouth University;Public Relations
University of York;Archaeological Information Systems
University of Kent at Canterbury;Business Information Technology with a Year in Industry
University of London;Environmental Law
Sheffield Hallam University;Public Relations
University of Central Lancashire;International Applied Communication
University of Essex;American History
London School of Economics and Political Science;Management and Regulation of Risk
Napier University;Advanced Structural Engineering
Bangor University;Applied Sport Science
University of Oxford;Geography and the Environment
Kingston University;Structural Design and Construction Management
University of Essex;Management, Mathematics and Economics
Oxford Brookes University;English Language and Study Skills
University of Essex;Molecular Medicine
University of Essex;B.A. Acting and Contemporary Theatre
University of Liverpool;Civic Design
Imperial College London;Computational Prediction of Crystallographic Texture Evolution in Metals‌
University of Birmingham;Shakespeare, Stratford-upon-Avon and the Cultural History of Renaissance England
University of Surrey;Multimedia Signal Processing and Communications
Bournemouth University;Forensic Science
University of Edinburgh;Finance and Investment
Sheffield Hallam University;Sport Business Management
University of London;Financial and Industrial Economics
University Campus Suffolk;Graphic Design (Graphic Illustration)
Coventry University;Building Surveying
University of Essex;International Relations (including Year Abroad)
University of Manchester;Chemical Engineering (Energy and Environment)
University of Northumbria at Newcastle;Arts
University of Essex;English Language and Literature
University of Leeds;International Development
Liverpool John Moores University;Art and Design
Falmouth University;Communication Design
Imperial College London;Molecular and Cellular Biosciences
University of Leeds;Disability and Social Policy
University of Birmingham;Policy Into Practice (with Integrated Placement)
University of Cambridge;Economics
University of Birmingham;Economics
University of Birmingham;Theology
University of Cambridge;Theology, Religion, and Philosophy of Religion
University of Stirling;Business, Finance, Economics and Marketing
Royal Holloway and Bedford New College;Ancient and Medieval History
University of Kent at Canterbury;World Literature
Kingston University;Managing in the Creative Economy
Middlesex University;Interior Architecture
Bangor University;Business with Consumer Psychology
London School of Economics and Political Science;Banking and Finance
Imperial College London;Mathematical Sciences
Bournemouth University;Finance and Economics
The Queen's University Belfast;Economics
Coventry University;Accountancy
University of Birmingham;Geography and Environmental Sciences and MPhil By Research
University of Essex;Modern History and International Relations (including Year Abroad)
Imperial College London;Biomedical Engineering with a Year in Industry
University of Glasgow;Biotechnology
Cardiff University;Chemical Biology
University of London;Quaternary Science
Coventry University;English and TEFL
University of Greenwich;Building Surveying
University of Kent at Canterbury;Hispanic Studies, English Language and Linguistics
The Queen's University Belfast;Software Engineering
Imperial College London;Ecological Applications
Falmouth University;Illustration: Authorial Practice
University of Southampton;Web Science (Computer Science)
Middlesex University;Primary Education (with QTS)
University of Glasgow;International Development
The University of Buckingham;Communication and Media Studies
Middlesex University;Islamic Finance
University of Leeds;Human Disease and Therapy
University of Essex;Economics with Mathematics
University of Birmingham;French Studies
University of Dundee;Financial Economics
Durham University;Ancient Philosophy
Kingston University;International Finance
University of Nottingham;Mechanical Engineering
University of East Anglia;Chemistry with a Year in North America
Imperial College London;Nanomaterials
University of Kent at Canterbury;Business and Management with a Year in Industry
University of Greenwich;Mechanical and Manufacturing Engineering
University of Cambridge;Mathematics Education
University of Southampton;Philosophy, Politics and Economics
University of Essex;Economics with Italian
University of East Anglia;Engineering and Maths
University of Southampton;Finance and Economics
Napier University;Pharmaceutical Science
University of York;Computer Science
London School of Economics and Political Science;Public Policy and Administration
University of Dundee;English with German
University of East Anglia;Environmental Earth Science with a Year in Australasia
University of Greenwich;Civil Engineering with Project Management
Bournemouth University;Accounting and Business
University of Greenwich;Wireless Mobile Communications Systems Engineering
The Queen's University Belfast;Software and Electronic Systems Engineering
University of Stirling;International Conflict and Cooperation
Queen Mary University of London;Computer Science and Multimedia
Metropolitan University;Media and Communications
Heriot-Watt University;Investment Management
The Queen's University Belfast;Educational Leadership
University of Kent at Canterbury;Philosophy and Business Administration
University of Newcastle-upon-Tyne;Museum Studies
University of Oxford;Literature and Arts
Metropolitan University;Fine Art
Bournemouth University;Applied Geography
University College London;Mathematics with Management Studies
University of Lincoln;Business Management
School of Oriental and African Studies;Asian Politics
School of Oriental and African Studies;Development Studies with special reference to Central Asia
University of Kent at Canterbury;Law with French Language and a Year Abroad (Canada)
Kingston University;Embedded Systems with Management Studies
University of Essex;Finance
University of Leicester;Performance Management and Workplace Learning
University of Essex;Economics with German (including Year Abroad)
University of Sheffield;Artificial Intelligence and Computer Science
Coventry University;Media and Communications
University of Sunderland;Business and Enterprise Management
Bangor University;Banking and Finance — London Centre
Durham University;Classics
University of Reading;Ancient History
Online Business School;Health & Social Care
University of Southampton;Global Ageing and Policy
University of Leicester;Employment Law
King's College London;Advanced Practice (Cardiac Care)
University of East Anglia;Environmental Earth Sciences with a Year in Europe
University of Glasgow;Financial Forecasting and Investment
University of Birmingham;Musculoskeletal Ageing and Health
University of York;Medieval English Literatures
Glasgow Caledonian University;Finance, Investment and Risk
Imperial College London;Biomedical Research
University of Glasgow;Real Estate and Regeneration
King's College London;Advanced Computing
University of Surrey;Musicology
Imperial College London;Applied Mathematics
University of Birmingham;Hispanic Studies
University of Manchester;English Language
University of East Anglia;General Science
Durham University;Japanese Studies
University of Reading;International Business
University of Bedfordshire;Public Health
University of Lancaster;Design
University of Surrey;Corporate Environmental Management
University of Strathclyde;International Marketing
University of East Anglia;Media and Politics
Queen Mary University of London;Biomedical Sciences
Sheffield Hallam University;Technology Enhanced Learning, Innovation and Change
